Date,Open,High,Low,Close,Adj Close,Volume
2018-04-05,499.450012,504.350006,492.600006,503.149994,502.525970,242693
2018-04-06,505.000000,505.000000,495.500000,500.700012,500.079010,173444
2018-04-09,502.799988,521.000000,502.350006,517.900024,517.257690,469541
2018-04-10,523.099976,549.500000,522.500000,546.000000,545.322815,1198090
2018-04-11,550.000000,552.000000,534.099976,539.500000,538.830872,541071
2018-04-12,535.349976,550.000000,534.599976,548.299988,547.619934,327128
2018-04-13,551.000000,555.000000,536.250000,541.900024,541.227905,678418
2018-04-16,538.500000,544.000000,531.200012,542.200012,541.527527,255164
2018-04-17,544.700012,544.849976,530.799988,532.549988,531.889465,273963
2018-04-18,535.000000,536.299988,517.150024,518.700012,518.056702,474615
2018-04-19,520.349976,522.500000,509.250000,513.500000,512.863159,251686
2018-04-20,514.200012,514.250000,503.200012,505.850006,505.222626,277616
2018-04-23,509.899994,511.200012,500.299988,506.450012,505.821899,357106
2018-04-24,506.450012,514.799988,503.600006,505.250000,504.623352,326172
2018-04-25,505.000000,509.000000,497.000000,498.399994,497.781860,290213
2018-04-26,498.399994,501.299988,484.000000,494.549988,493.936615,431968
2018-04-27,479.000000,555.549988,479.000000,538.900024,538.231628,4282208
2018-04-30,535.049988,535.750000,514.000000,518.049988,517.407471,830473
2018-05-02,520.000000,527.450012,515.599976,523.450012,522.800781,602316
2018-05-03,518.000000,538.299988,518.000000,532.400024,531.739685,586570
2018-05-04,533.049988,534.950012,519.099976,520.299988,519.654663,322975
2018-05-07,525.000000,537.250000,523.049988,534.950012,534.286560,286466
2018-05-08,535.150024,546.849976,533.700012,541.250000,540.578735,583260
2018-05-09,541.500000,550.000000,537.049988,548.599976,547.919556,711981
2018-05-10,548.500000,554.000000,542.349976,547.650024,546.970825,418333
2018-05-11,547.000000,555.400024,545.099976,553.200012,552.513916,177872
2018-05-14,552.000000,558.700012,548.250000,552.250000,551.565063,249658
2018-05-15,553.900024,562.849976,547.450012,549.450012,548.768555,292211
2018-05-16,547.500000,552.750000,540.700012,549.349976,548.668640,234885
2018-05-17,541.000000,556.000000,535.849976,539.500000,538.830872,1007263
2018-05-18,538.000000,549.000000,529.200012,532.700012,532.039307,160591
2018-05-21,533.000000,560.000000,521.349976,528.700012,528.044312,296830
2018-05-22,528.900024,533.150024,521.450012,523.299988,522.650940,141761
2018-05-23,522.000000,528.299988,519.450012,520.349976,519.704590,139913
2018-05-24,521.400024,537.000000,521.400024,534.450012,533.787170,225652
2018-05-25,535.000000,544.500000,532.500000,538.450012,537.782227,126904
2018-05-28,542.250000,547.750000,541.500000,546.450012,545.772278,243179
2018-05-29,546.500000,549.700012,542.650024,545.900024,545.222961,135986
2018-05-30,545.000000,545.000000,535.349976,539.900024,539.230408,265753
2018-05-31,543.000000,551.599976,532.450012,543.299988,542.626160,435420
2018-06-01,545.000000,545.000000,532.750000,537.150024,536.483826,169766
2018-06-04,540.000000,542.000000,531.549988,536.049988,535.385132,362673
2018-06-05,536.000000,536.549988,523.700012,529.799988,529.142883,206617
2018-06-06,530.000000,533.650024,525.299988,530.200012,529.542419,3186548
2018-06-07,533.000000,549.900024,532.500000,542.150024,541.477600,1163939
2018-06-08,542.000000,542.000000,535.299988,536.450012,535.784668,136384
2018-06-11,539.950012,544.799988,531.049988,540.099976,539.430115,843795
2018-06-12,541.000000,546.549988,535.750000,536.799988,536.134216,536875
2018-06-13,538.250000,551.849976,537.150024,539.750000,539.080566,860305
2018-06-14,543.450012,543.450012,530.200012,531.750000,531.090515,373535
2018-06-15,528.700012,534.650024,516.349976,528.000000,527.345154,450802
2018-06-18,529.000000,531.099976,521.000000,522.049988,521.402527,266937
2018-06-19,525.000000,525.000000,514.400024,516.750000,516.109070,203625
2018-06-20,521.900024,527.200012,517.500000,519.150024,518.506165,227971
2018-06-21,523.950012,523.950012,511.799988,513.250000,512.613464,190773
2018-06-22,515.450012,526.000000,510.549988,524.650024,523.999329,215592
2018-06-25,524.650024,524.650024,513.000000,515.150024,514.511108,277278
2018-06-26,520.000000,520.000000,511.950012,514.049988,513.412415,197440
2018-06-27,516.599976,516.599976,502.049988,507.600006,506.970459,226042
2018-06-28,510.000000,514.599976,500.450012,504.950012,504.323761,198969
2018-06-29,506.350006,514.299988,499.049988,510.399994,509.766968,260477
2018-07-02,511.000000,514.950012,503.500000,512.599976,511.964233,261839
2018-07-03,512.599976,520.000000,509.700012,512.000000,511.364990,332619
2018-07-04,512.000000,515.950012,507.950012,514.299988,513.662109,173621
2018-07-05,515.549988,517.500000,509.399994,510.899994,510.266357,117474
2018-07-06,510.049988,516.500000,510.049988,514.250000,513.612183,82106
2018-07-09,514.200012,528.500000,514.200012,523.650024,523.000549,322861
2018-07-10,530.000000,534.900024,522.099976,532.549988,531.889465,404132
2018-07-11,533.400024,541.750000,531.000000,536.599976,535.934448,267510
2018-07-12,539.450012,545.000000,535.250000,537.250000,536.583679,254942
2018-07-13,540.000000,540.799988,520.500000,523.900024,523.250244,240378
2018-07-16,524.000000,529.750000,518.549988,523.099976,522.451172,191192
2018-07-17,523.000000,540.000000,519.799988,538.049988,537.382690,213308
2018-07-18,542.349976,542.799988,515.849976,524.200012,523.549866,557333
2018-07-19,528.000000,536.900024,518.849976,527.299988,526.645996,201716
2018-07-20,527.599976,536.450012,524.950012,534.450012,533.787170,156703
2018-07-23,534.500000,544.950012,531.049988,540.799988,540.129272,209083
2018-07-24,542.950012,549.000000,538.450012,546.000000,545.322815,216217
2018-07-25,547.000000,547.500000,529.450012,531.849976,531.190369,145508
2018-07-26,537.000000,543.900024,527.000000,541.650024,540.978271,547093
2018-07-27,545.000000,555.000000,538.000000,553.650024,552.963379,540695
2018-07-30,555.000000,570.000000,551.099976,568.450012,567.744995,564010
2018-07-31,582.000000,584.950012,548.000000,550.099976,549.417725,942588
2018-08-01,552.450012,555.549988,538.650024,544.900024,544.224182,440881
2018-08-02,546.500000,550.900024,539.400024,546.099976,545.422668,295478
2018-08-03,547.799988,578.250000,546.000000,574.349976,573.637634,960464
2018-08-06,574.599976,603.900024,574.599976,596.500000,595.760193,1175767
2018-08-07,596.500000,606.599976,583.599976,592.049988,591.315674,911655
2018-08-08,595.750000,598.700012,586.799988,596.400024,595.660339,414814
2018-08-09,596.000000,622.950012,595.000000,619.450012,618.681763,928335
